"","rules","support","confidence","lift","hyperConfidence","leverage","phi","gini"
"1","{Age=18-24} => {Year=90s}",0.115143934917602,0.627495423241217,1.1778827342851,1,0.0173889279325584,0.0900412268324954,0.00403633930392297
"33","{Year=90s,male} => {Age=25-34}",0.166208262473143,0.42024808952862,1.06264579826708,1,0.00979841947165608,0.0409843668654682,0.000803154558849051
"9","{Ratings=3} => {Year=90s}",0.146897298464621,0.562517946224497,1.05591236532198,1,0.00777846314363498,0.0354925568750374,0.000627161562315875
"7","{female} => {Year=90s}",0.137231318654401,0.556971270897582,1.04550060316678,1,0.00597236171192569,0.0277795171334367,0.000384197243365886
"17","{Age=25-34} => {Year=90s}",0.219728076831942,0.555607802687862,1.04294121292505,1,0.00904690505650851,0.0370848276119052,0.000684695365885946
"4","{Year=80s} => {male}",0.173471744405419,0.774395686792588,1.02757945138514,1,0.00465584975942837,0.0259151530455013,0.000249405202235341
"19","{Age=25-34} => {male}",0.304152432141682,0.769084529118507,1.02053184435164,1,0.00611917249860405,0.0290430606447455,0.000313243967074071
"8","{Ratings=3} => {Age=25-34}",0.104265208571409,0.399265688350172,1.00958937515557,0.999997963792229,0.00099034144501689,0.00461104689106215,1.01662724752427e-05
"10","{Ratings=3} => {male}",0.198189578378119,0.758932912705735,1.00706122125544,0.999999999999902,0.00138964785249643,0.00734178568808418,2.00171091834442e-05
"2","{Age=18-24} => {male}",0.138080141250479,0.752489974718856,0.998511805504833,0.108080758162008,-0.00020579637112747,-0.0012338426043784,5.65350104252127e-07
"3","{Age=35-44} => {male}",0.149498754760255,0.751395707602398,0.997059774685994,0.00516987381371345,-0.000440856239834725,-0.00256272416329352,2.43894316289545e-06
"15","{Ratings=4} => {male}",0.261883266397323,0.750601052809546,0.996005312542149,1.57708857021608e-07,-0.00105033757001594,-0.00511412270728418,9.71270594293111e-06
"12","{Age=25-34} => {Ratings=4}",0.13679540975936,0.345902982131481,0.991415549873045,1.82420601458283e-07,-0.00118448149499573,-0.00508262614517243,1.17369129540856e-05
"21","{Year=90s} => {male}",0.39550034042885,0.742400669615628,0.985123866006134,1.69072652777832e-170,-0.00597236171192572,-0.0277795171334366,0.000286580962591841
"6","{Ratings=5} => {male}",0.167728944650568,0.741301754230922,0.983665667197187,9.08276856516254e-54,-0.00278523536395603,-0.0154480855393203,8.86231705589866e-05
"14","{Year=90s} => {Ratings=4}",0.180140350666711,0.338144631720788,0.969178825601033,1.64194353397873e-128,-0.00572870250311822,-0.024090458168616,0.000263674220594534
"5","{Ratings=5} => {Year=90s}",0.103392390990283,0.456957270999956,0.857762558707902,0,-0.0171449184791685,-0.0821286597353073,0.00335810545807561
